Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010
330020905000129;1;3;0;0;0;0;0;2;0;1;0
330020905000130;1;6;0;0;13;0;5;1;0;10;0
330020905000131;1;6;2;0;3;0;5;1;0;2;0
330020905000132;1;4;4;0;8;0;7;3;0;5;0
330020905000133;1;10;2;0;10;0;12;1;0;19;0
330020905000134;1;7;3;0;10;0;4;2;0;15;0
330020905000135;1;6;2;0;6;0;6;1;0;10;0
330020905000136;1;10;1;0;9;0;8;1;0;6;0
330020905000137;1;3;0;0;3;0;1;0;0;3;0
330020905000138;1;10;3;0;17;0;16;1;0;12;0
330020905000139;1;4;0;0;2;0;4;0;0;2;0
330020905000140;1;9;2;0;9;0;6;1;0;10;0
330020905000141;1;4;5;0;7;0;1;1;0;13;0
330020905000142;1;1;0;0;11;0;3;0;0;16;0
330020905000143;1;5;0;0;12;0;8;1;0;10;0
330020905000144;1;5;0;0;6;0;4;0;0;3;0
330020905000145;1;8;0;0;8;0;1;2;0;10;0
330020905000146;1;7;0;0;1;0;9;0;0;4;0
330020905000147;1;10;0;0;5;0;15;0;0;6;0
330020905000148;1;9;0;0;1;0;8;1;0;3;0
330020905000149;1;2;0;0;2;0;1;0;0;0;0
330020905000150;1;4;0;1;7;1;6;2;0;4;1
330020905000151;1;2;0;0;1;0;4;0;0;0;0
330020905000152;1;5;8;2;4;0;1;1;0;5;0
330020905000153;1;7;3;0;8;0;9;1;0;14;0
330020905000154;1;2;0;0;0;0;1;0;0;1;0
330020905000155;1;0;1;0;2;0;0;0;0;4;0
330020905000156;1;3;0;0;3;0;3;1;0;2;0
330020905000157;1;15;0;0;20;0;19;2;1;14;0
330020905000158;1;5;0;0;4;0;2;0;0;0;0
330020905000159;1;3;0;0;2;0;3;0;0;0;0
330020905000160;1;2;2;0;6;0;6;1;1;2;0
330020905000161;1;4;0;1;13;0;4;3;0;12;0
330020905000162;1;4;1;0;7;0;3;0;0;5;0
330020905000163;1;3;1;0;0;0;0;0;0;1;0
330020905000164;1;0;X;X;X;X;X;X;X;X;X
330020905000165;1;1;6;0;8;0;14;2;0;18;0
330020905000166;1;0;0;0;3;0;2;0;0;4;0
330020905000167;1;4;0;0;4;0;0;1;0;0;0
330020905000168;1;3;0;0;0;0;1;0;0;1;0
330020905000169;1;6;0;0;8;0;4;0;0;3;0
330020905000170;1;0;0;0;2;0;2;1;0;3;0
330020905000171;1;1;3;0;3;0;2;0;0;5;0
330020905000172;1;0;0;0;0;0;0;0;0;3;0
330020905000173;1;0;0;0;1;0;0;0;0;1;0
330020905000174;1;3;0;0;4;0;2;1;0;3;0
330020905000175;1;0;0;0;1;0;1;1;0;1;0
330020905000176;1;4;3;0;10;0;4;6;0;9;0
330020905000177;1;1;1;0;1;0;0;1;0;2;0
