Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
330455705160137;1;0;310240;310240;0;0;0;8;25;62;13;7;2;0;29;
330455705160138;1;0;319060;319060;0;0;0;6;28;50;26;11;4;1;8;
330455705160139;1;0;421377;421377;0;0;7;24;72;70;19;15;7;0;12;
330455705160140;1;0;417689;417689;0;2;4;5;34;48;24;17;15;0;0;
330455705160141;1;0;414411;414411;0;0;0;7;31;49;28;24;6;0;3;
330455705160142;1;0;476780;476780;0;1;7;68;164;95;0;2;0;0;37;
330455705160143;1;0;320316;320316;0;5;34;98;87;43;4;2;1;0;27;
330455705160144;1;0;567909;567909;0;0;4;30;83;120;37;16;2;0;6;
330455705160145;1;0;300527;300527;0;0;11;44;85;51;14;3;3;0;56;
330455705160146;1;0;812506;812506;0;1;1;25;62;88;37;36;21;4;1;
330455705160147;1;0;508435;508435;0;0;2;18;60;72;32;20;11;1;8;
330455705160148;1;0;241895;241895;0;0;7;40;62;37;10;4;2;0;20;
330455705160149;1;0;345421;345421;0;1;11;35;40;12;4;1;0;0;38;
330455705160150;1;0;560978;560978;0;0;3;25;59;82;36;15;7;5;2;
330455705160151;1;1;461665;460165;1500;0;4;8;48;63;29;24;4;1;4;
330455705160152;1;0;638894;638894;0;0;1;5;35;77;37;46;14;2;1;
330455705160153;1;0;353082;353082;0;4;0;6;37;64;24;15;3;0;2;
330455705160154;1;0;496757;496757;0;1;3;24;59;81;27;16;4;2;7;
330455705160155;1;0;16286;16286;0;0;8;9;6;1;0;0;0;0;10;
330455705160156;1;1;257510;257000;510;1;17;48;78;27;3;1;1;0;13;
330455705160157;1;0;152811;152811;0;4;22;52;56;10;3;1;1;0;33;
330455705160158;1;2;119668;118648;1020;0;9;30;55;14;2;0;0;0;15;
330455705160159;1;0;108957;108957;0;1;7;26;31;8;2;2;0;0;21;
330455705160160;1;0;165445;165445;0;4;12;45;51;18;4;0;0;0;47;
330455705160161;1;0;306021;306021;0;1;7;35;78;44;12;3;2;0;5;
330455705160162;1;0;219091;219091;0;5;15;47;58;27;6;3;0;0;22;
